,cp_name
739,한온시스템(주) 평택공장
740,한온시스템(주)_울산공장
741,볼보그룹코리아(주)
742,롯데이네오스화학
743,도레이첨단소재(주)
744,도레이첨단소재(주)_구미2공장
745,도레이첨단소재(주)_구미5공장
746,도레이첨단소재(주)_안성공장
747,도레이첨단소재(주)_유구공장
748,도레이첨단소재(주)구미1공장
749,도레이첨단소재(주)구미4공장
750,도레이첨단소재(주)군산공장
751,(주)국순당 횡성공장
752,(주)DB하이텍 부천공장
753,(주)DB하이텍 상우공장
754,동서석유화학(주)
755,서울우유협동조합 안산공장
756,서울우유협동조합 거창공장
757,서울우유협동조합 양주신공장
758,(주)엠에스씨
759,(주)디비메탈
760,(주)디비메탈 동해공장
761,르노코리아자동차 주식회사(부산공장)
762,르노코리아자동차 기흥연구소
763,르노코리아자동차 영업본부
764,한국타이어앤테크놀로지(주) 본사
765,한국타이어앤테크놀로지(주) 금산공장
766,한국타이어앤테크놀로지(주) 대전공장
767,한국타이어앤테크놀로지(주) 생산기술연구소
768,한국테크노돔
769,넥센타이어(주) 양산공장
770,넥센타이어(주) 창녕공장
771,SK케미칼(본사)
772,SK케미칼 울산
773,SK케미칼 청주
774,에이치디현대인프라코어 인천공장
775,에이치디현대인프라코어 군산공장
776,영화금속(주)
777,영화금속(주)_함안공장
778,영화금속(주)제2공장
779,현대제철
780,현대제철 당진제철소
781,현대제철 순천공장
782,현대제철 예산2공장
783,현대제철 예산공장
784,현대제철 울산 대구경공장
785,현대제철 울산공장
786,현대제철 인천공장
787,현대제철 포항공장
788,현대제철_포항2공장
789,대한제당(주)
790,대한제당(주)인천사료
791,태광산업(주)
792,태광산업(주) 반여공장
793,태광산업(주) 석유화학 1공장
794,태광산업(주) 석유화학 2공장
795,태광산업(주) 석유화학 3공장
796,태광산업(주) 울산공장
797,태광산업(주)대구사업소
798,(주)케이씨씨
799,(주)케이씨씨 김천공장
800,라이온코리아(주)
801,삼성전기(주) 수원사업장
802,삼성전기(주) 부산사업장
803,삼성전기(주) 세종사업장
804,(주)한독 음성공장
805,(주)풍산
806,(주)풍산 안강사업장
807,(주)풍산 울산사업장
808,현대자동차(주) 본사
809,현대자동차 서비스센터
810,현대자동차 아산공장
811,현대자동차 연구시설
812,현대자동차 울산공장
813,현대자동차 전주공장
814,(주)필맥스
815,롯데알미늄 본사
816,롯데알미늄 안산1공장
817,롯데알미늄 진천공장
818,롯데알미늄 평택공장
819,LG이노텍 본사
820,LG이노텍 광주사업장
821,"LG이노텍 구미 2,3사업장"
822,"LG이노텍 구미1,1A사업장"
823,LG이노텍 마곡R&D캠퍼스
824,LG이노텍 안산R&D캠퍼스
825,LG이노텍 파주사업장
826,LG이노텍 평택사업장
827,LG이노텍_구미4(C4) 사업장
828,기아 주식회사
829,기아 주식회사 광명공장
830,기아 주식회사 광주완성차공장
831,기아 주식회사 광주하남공장
832,기아 주식회사 화성공장
833,(주)유니드
834,(주)유니드-화학_울산공장 
835,한화솔루션(주)
836,한화솔루션(주) 여수
837,한화솔루션(주) 여수2
838,한화솔루션(주) 울산1
839,한화솔루션(주) 울산2
840,한화솔루션(주) 울산3
841,한화솔루션(주) 중앙연구소
842,한화솔루션(주) 티디아이
843,한화솔루션㈜ 음성 제2사업장
844,한화솔루션㈜ 진천사업장
845,주식회사 전주페이퍼 (전주)
846,고려아연(주)
847,고려아연(주)온산제련소
848,현대위아(주) 창원1공장
849,현대위아(주) 광주공장
850,현대위아(주) 서산공장
851,현대위아(주) 안산1공장
852,현대위아(주) 안산2공장
853,현대위아(주) 울산1공장
854,현대위아(주) 울산3공장
855,현대위아(주) 의왕연구소
856,현대위아(주) 창원2공장
857,현대위아(주) 창원4공장
858,현대위아(주) 창원5공장
859,현대위아(주) 평택공장
860,현대위아(주)창원3공장
861,(주)어프로티움 울산 1공장
862,(주)어프로티움 서산공장
863,(주)어프로티움 울산 2공장
864,LS ELECTRIC 본사
865,LS일렉트릭 부산공장
866,LS일렉트릭 천안사업장
